V1	V2
CTNNB1	ERBB2
CTNNB1	IGF1R
CTNNB1	PIK3R1
CTNNB1	PTGS2
CTNNB1	CCND2
CTNNB1	CD44
CTNNB1	CASP3
CTNNB1	SPN
CTNNB1	PTPRJ
CTNNB1	MUC1
CTNNB1	FYN
CTNNB1	DVL1
CTNNB1	APC2
CTNNB1	PRKAA1
CTNNB1	CDC73
CTNNB1	CSNK1A1
CTNNB1	PECAM1
CXCL12	CXCR4
CXCL12	CXCR6
CXCL12	ACKR3
E2F1	CCND1
E2F1	AR
E2F1	BCL2
E2F1	CDK4
E2F1	CDKN1A
E2F1	CTNNB1
E2F1	CYP19A1
E2F1	EGFR
E2F1	FLT1
E2F1	KDR
E2F1	RET
E2F1	TSPAN7
E2F1	IL10
E2F1	CLIP1
E2F1	CLCF1
E2F1	CD320
E2F1	ALDOA
E2F1	TAP1
E2F1	INSR
E2F1	PTPRC
E2F1	EPO
E2F1	TNF
E2F1	IL1A
E2F1	PLAUR
E2F1	TRAF2
E2F1	SLC3A2
E2F1	TRAF3
E2F1	TIMP1
E2F1	ITGA3
E2F1	DUSP4
E2F1	DTL
E2F1	CHEK2
E2F1	CD164
E2F1	BRAF
E2F1	CCL3
E2F1	IL1B
E2F1	SUMO2
E2F1	ABCB1
E2F1	BECN1
E2F1	YAP1
E2F1	SDCBP
E2F1	PPM1D
E2F1	OAS2
E2F1	CD9
E2F1	CD2AP
E2F1	ADA
E2F1	BIRC5
E2F1	CD151
E2F1	FGFR1
E2F1	KLK3
E2F1	MPO
E2F1	TYMP
E2F1	XIAP
E2F1	TRAF7
E2F1	RASSF7
E2F1	UNG
E2F1	SPHK1
E2F1	SP2
E2F1	SMC3
E2F1	SDC1
E2F1	RAD54L
E2F1	NBN
E2F1	MCL1
E2F1	ITGAL
E2F1	HMGB1
E2F1	FANCM
E2F1	DUSP1
E2F1	CRADD
E2F1	CDK1
E2F1	CD74
E2F1	CANX
E2F1	B2M
E2F1	ANP32B
E2F1	CDCA7
E2F1	CXCR4
E2F1	UBE2D3
E2F1	PTGES2
E2F1	CCNE2
E2F1	ZFP36L2
E2F1	SIVA1
E2F1	RFC4
E2F1	PSMA7
E2F1	PALB2
E2F1	OXCT1
E2F1	NOTCH1
E2F1	MSH2
E2F1	IL4I1
E2F1	IGF2R
E2F1	FABP5
E2F1	CTBP2
E2F1	CASP6
E2F1	TNFSF11
E2F1	RAC1
E2F1	NOTCH2
E2F1	CDH5
E2F1	WNT9A
E2F1	LIG1
E2F1	CX3CL1
E2F1	CASP7
E2F1	LIN9
E2F1	NDC80
E2F1	ECT2
E2F1	KIR3DL1
E2F1	SUZ12
E2F1	MSH6
E2F1	MCM6
E2F1	TGFBR3
E2F1	SLC2A3
E2F1	SIRPA
E2F1	SETD1B
E2F1	RUNDC1
E2F1	RHD
E2F1	RHCE
E2F1	RAE1
E2F1	PTPN7
E2F1	PPP3CA
E2F1	POU2AF1
E2F1	PCSK1
E2F1	NUSAP1
E2F1	MELK
E2F1	IL1RAPL1
E2F1	IL12RB1
E2F1	HAMP
E2F1	GNAZ
E2F1	GMPS
E2F1	GALNT2
E2F1	FANCC
E2F1	EXT1
E2F1	DEFA3
E2F1	DCLRE1C
E2F1	CDC42BPA
E2F1	CD72
E2F1	CD6
E2F1	CCL17
E2F1	C1S
E2F1	ALOX5AP
E2F1	ALDH1A1
E2F1	ADIPOR2
E2F1	ADAM8
EGFR	CASP3
EGFR	SHC2
EGFR	MAP2K1
EGFR	JAK1
FLT1	SHC2
JAK2	PIK3CA
JAK2	STAT1
JAK2	SHC2
JUN	CCND1
JUN	BTG2
JUN	CDK4
JUN	CDKN1A
JUN	CYP19A1
JUN	EGFR
JUN	WNT11
JUN	WNT10A
JUN	SHC1
JUN	SELE
JUN	NOS2
JUN	GADD45B
JUN	GADD45A
JUN	CLCF1
JUN	ALDOA
JUN	IL2
JUN	MMP9
JUN	CCL2
JUN	CLU
JUN	CXCL8
JUN	FAS
JUN	MELTF
JUN	PLAUR
JUN	PTGS2
JUN	ITGA5
JUN	ZYX
JUN	TRAF2
JUN	SLC3A2
JUN	SLC22A18
JUN	SHC3
JUN	F3
JUN	WNT2B
JUN	WNT10B
JUN	WNT1
JUN	TRAF3
JUN	TRAF1
JUN	TNFRSF12A
JUN	TIMP1
JUN	SLC4A1
JUN	SHISA5
JUN	S100A8
JUN	RTN4RL1
JUN	PROCR
JUN	PLAA
JUN	MT2A
JUN	MSR1
JUN	LY9
JUN	LIFR
JUN	LGALS3
JUN	ITGA3
JUN	IL23R
JUN	IL1RL1
JUN	IL12B
JUN	IL11
JUN	GNG5
JUN	FCGR2A
JUN	EPSTI1
JUN	EMP3
JUN	DVL2
JUN	DUSP4
JUN	DRAP1
JUN	DDR1
JUN	CXCR5
JUN	CXCL14
JUN	CSF2
JUN	CLEC4M
JUN	CHI3L1
JUN	CD69
JUN	CD59
JUN	CCR10
JUN	CCL5
JUN	BTK
JUN	BRAF
JUN	BATF
JUN	IL12A
JUN	IL6
JUN	SUMO2
JUN	CD1A
JUN	FCER2
JUN	ABCB1
JUN	BECN1
JUN	CD82
JUN	CSF1
JUN	IL24
JUN	IL5RA
JUN	ITGAX
JUN	LDHA
JUN	MGP
JUN	TNFRSF10A
JUN	VCAM1
JUN	PRNP
JUN	PPP1R15A
JUN	CCND2
JUN	YAP1
JUN	WNT5A
JUN	TNFSF10
JUN	TNFRSF8
JUN	TNFRSF18
JUN	TFRC
JUN	SPAG9
JUN	SOD1
JUN	SH3BGRL3
JUN	SDCBP
JUN	RECQL5
JUN	PPM1D
JUN	POMC
JUN	PLK3
JUN	PGAM1
JUN	PDCD1LG2
JUN	PAFAH1B2
JUN	OAS2
JUN	NBEAL1
JUN	MYL6
JUN	LRP1
JUN	KLRC2
JUN	KEL
JUN	JAK3
JUN	ITGA6
JUN	IL7R
JUN	IL31RA
JUN	IL2RB
JUN	IL13RA1
JUN	ICAM1
JUN	HMGN1
JUN	HLA-DPB1
JUN	GNLY
JUN	FCGR3B
JUN	ENC1
JUN	ELF1
JUN	EEF2
JUN	DNAJB1
JUN	CXCL16
JUN	CXCL1
JUN	CD9
JUN	CD86
JUN	CD80
JUN	CD79A
JUN	CD63
JUN	CD55
JUN	CD5
JUN	CD44
JUN	CD3G
JUN	CD2AP
JUN	CD22
JUN	CD209
JUN	CD163
JUN	CD109
JUN	CCR7
JUN	CCR5
JUN	CCL7
JUN	C3AR1
JUN	BST2
JUN	APOBEC3B
JUN	AP2B1
JUN	AIRE
JUN	ACE
JUN	NACA
JUNB	CDKN1A
JUNB	EGFR
JUNB	WNT11
JUNB	GADD45B
JUNB	CLCF1
JUNB	IL4
JUNB	MMP9
JUNB	CLU
JUNB	PTGS2
JUNB	ITGA5
JUNB	ZYX
JUNB	TRAF2
JUNB	SLC3A2
JUNB	SLC22A18
JUNB	SHC3
JUNB	HLA-DPA1
JUNB	F3
JUNB	WNT2B
JUNB	WNT10B
JUNB	WNT1
JUNB	TRAF3
JUNB	SOS2
JUNB	SMARCB1
JUNB	SLC4A1
JUNB	S100A8
JUNB	RTN4RL1
JUNB	RB1CC1
JUNB	PROCR
JUNB	PDGFRB
JUNB	LY9
JUNB	IL11
JUNB	IKZF3
JUNB	EEF1A1
JUNB	DVL2
JUNB	DUSP4
JUNB	DRAP1
JUNB	DDR1
JUNB	CXCR5
JUNB	CXCL14
JUNB	CSF2
JUNB	CLEC4M
JUNB	CHI3L1
